_id,id,address_number,street,common_name,scientific_name,height,width,growth_space_length,growth_space_width,growth_space_type,diameter_base_height,stems,overhead_utilities,land_use,condition,stormwater_benefits_dollar_value,stormwater_benefits_runoff_elim,property_value_benefits_dollarvalue,property_value_benefits_leaf_surface_area,energy_benefits_electricity_dollar_value,energy_benefits_gas_dollar_value,air_quality_benfits_o3dep_dollar_value,co2_benefits_dollar_value,overall_benefits_dollar_value,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1,754166088,7428,MONTICELLO ST,Stump,Stump,0,0,10,2,Well or Pit,16,1,Yes,Vacant,N/A,,,,,,,,,,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45816863,-79.88972391
2,1946899269,220,BALVER AVE,Linden: Littleleaf,Tilia cordata,0,0,99,99,Open or Unrestricted,22,0,No,Residential,N/A,13.94669426,1743.336782,21.98481305,36.53833347,15.77645722,61.06831881,2.360847494,0.944600766,125.1783223,Oakwood,2,28,42003562800,5,28,6,19-Jan,40.42926879,-80.06786821
3,1431517397,2822,SIDNEY ST,Maple: Red,Acer rubrum,22,6,6,3,Well or Pit,6,1,No,Commercial/Industrial,Fair,3.974858209,496.8572761,51.52909253,85.64035373,3.388820358,16.08474051,0.464026397,0.314951871,77.7671162,South Side Flats,3,16,42003160900,3,16,3,24-Apr,40.42679667,-79.96503491
4,994063598,608,SUISMON ST,Maple: Freeman,Acer x freemanii,25,10,3,3,Well or Pit,7,1,Conflicting,Residential,Fair,4.775662372,596.9577965,43.18452403,71.7718425,5.396217953,24.22092872,0.742734849,0.395314433,81.83825928,East Allegheny,1,23,42003563200,1,23,1,6-Jan,40.45550338,-79.99927602
5,1591838573,1135,N NEGLEY AVE,Maple: Norway,Acer platanoides,52,13,99,99,Open or Unrestricted,38,1,Yes,Residential,Good,41.22839767,5153.549709,194.1289101,322.6384886,28.57153698,94.93006902,5.872791158,6.04168583,390.5389943,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47666673,-79.92410638
6,1333224197,5550,BRYANT ST,Oak: Pin,Quercus palustris,45,18,35,3,Tree Lawn or Parkway,21,1,No,Residential,Good,21.06916315,2633.645393,85.74295421,142.5031292,18.23263252,63.68635916,3.40839631,2.147038492,206.5750178,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47749586,-79.92456803
7,239290336,5503,BRYANT ST,Dogwood: Corneliancherry,Cornus mas,8,4,99,3,Tree Lawn or Parkway,2,1,Yes,Residential,Good,0.57006618,71.25827248,8.991321523,14.94340222,0.782312894,4.241050804,0.128144016,0.08075892,15.34759043,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47840283,-79.92598467
8,1233652274,1207,KING AVE,Maple: Norway,Acer platanoides,27,10,30,3,Tree Lawn or Parkway,13,1,No,Residential,Good,8.260700892,1032.587611,46.97065112,78.06431239,10.95028692,39.88387492,1.6587632,1.221077001,115.7877853,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47840377,-79.92612638
9,1477030894,1201,KING AVE,Maple: Norway,Acer platanoides,35,12,3,3,Well or Pit,18,1,No,Residential,Good,13.38984522,1673.730653,69.90914086,116.187638,15.02490031,54.86746541,2.510128167,2.009496369,167.4453877,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.4783138,-79.92616099
10,1484901843,1456,WOODBINE ST,Maple: Norway,Acer platanoides,,,,,Open or Unrestricted,,1,No,Residential,Poor,,,,,,,,,,Stanton Heights,7,10,42003101800,2,10,5,7-Mar,40.48523963,-79.93638956
11,998993932,3233,THAYER ST,Honeylocust: Thornless,Gleditsia triacanthos inermis,48,20,99,99,Open or Restricted,20,1,No,Residential,Good,23.34768882,2918.461103,116.9288815,194.3335363,20.60469259,74.30901884,3.701085709,1.928326039,254.3761157,Sheraden,2,20,42003202200,5,20,6,16-Jan,40.45321254,-80.06724511
